ID,タスク名,詳細,備考,分類1,分類2,分類3,開始日,終了日,工数（人日）,前工程,担当,進捗（%）
1,キックオフ,体制/進め方確認,8/1にキックオフを実施。要件を詰めるために、ユーザー部門との調整を行うことを決定。詳しい日程は8/12までにメールにて調整することとする。,計画,,,2025/8/1,2025/8/1,,,田中,100
2,要件定義,要件ヒアリングと合意,,要件,,,2025/8/4,2025/8/6,,,佐藤,50
3,要件レビュー,レビューミーティング,,要件,,,2025/8/7,2025/8/7,,2,鈴木,0
4,基本設計（全体）,全体方針整理,,設計,共通,,2025/8/8,2025/8/9,2,3,田中,0
5,UI方針策定,コンポーネント設計,,設計,UI,,2025/8/11,2025/8/12,2,4,佐藤,0
6,API設計,エンドポイント定義,,設計,API,,2025/8/11,2025/8/13,3,4,鈴木,0
7,DBスキーマ設計,ER/正規化,,設計,DB,,2025/8/12,2025/8/13,2,4,高橋,0
8,画面Aワイヤ,UIラフ,,設計,UI,画面A,2025/8/13,2025/8/14,2,5,佐藤,0
9,画面Bワイヤ,UIラフ,,設計,UI,画面B,2025/8/13,2025/8/14,2,5,佐藤,0
10,バックエンド骨格,プロジェクト初期化,,実装,API,基盤,2025/8/14,2025/8/16,3,"6,7",鈴木,0
11,フロント骨格,Vite/Router設定,,実装,UI,基盤,2025/8/14,2025/8/16,3,5,田中,0
12,画面A実装,一覧/詳細,,実装,UI,画面A,2025/8/18,2025/8/21,4,"8,10,11",佐藤,0
13,画面B実装,一覧/詳細,,実装,UI,画面B,2025/8/18,2025/8/21,4,"9,10,11",佐藤,0
14,API実装(一覧),GET/検索,,実装,API,機能1,2025/8/18,2025/8/20,3,10,鈴木,0
15,API実装(登録),POST/バリデーション,,実装,API,機能2,2025/8/19,2025/8/21,3,10,鈴木,0
16,DBマイグレーション,DDL/Seeder,,実装,DB,,2025/8/19,2025/8/20,2,"7,10",高橋,0
17,単体テスト(UI),画面A/B,,テスト,UI,,2025/8/25,2025/8/27,3,"12,13",佐藤,0
18,単体テスト(API),機能1/2,,テスト,API,,2025/8/25,2025/8/27,3,"14,15",鈴木,0
19,結合テスト(画面A×API),E2E,,テスト,E2E,画面A,2025/8/28,2025/8/30,3,"17,18",田中,0
20,結合テスト(画面B×API),E2E,,テスト,E2E,画面B,2025/8/28,2025/8/30,3,"17,18",田中,0
21,バグ修正1,優先度高,,修正,,,2025/9/1,2025/9/2,2,"19,20",佐藤,0
22,性能測定,計測/改善項目洗出し,,非機能,性能,, ,2025/9/3,2,"19,20",鈴木,0
23,負荷対策,DB/キャッシュ,,非機能,性能,,2025/9/4,,3,22,高橋,0
24,セキュリティチェック,依存/脆弱性確認,,非機能,セキュリティ,,2025/9/5,2025/9/6,2,20,田中,0
25,ユーザ受入準備,シナリオ作成,,受入,,,2025/9/8,2025/9/9,2,"21,23,24",田中,0
26,ユーザ受入,UAT実施,,受入,,,2025/9/10,2025/9/12,3,25,田中,0
27,修正2,UAT指摘反映,,修正,,,2025/9/15,2025/9/17,3,26,佐藤,0
28,リリース判定会,Go/No-Go,,運用,,,2025/9/19,2025/9/19,,"26,27",全員,0
29,リリース準備,タグ/リリースノート,,運用,,,2025/9/22,2025/9/23,2,28,田中,0
30,本番リリース,切替/監視,,運用,,,2025/9/24,2025/9/24,,29,全員,0
