ID,タスク名,詳細,備考,分類1,分類2,分類3,開始日,終了日,工数（人日）,前工程,担当,進捗（%）
1,キックオフ,スコープ確認,,計画,,,2025/8/5,2025/8/5,,,山田,100
2,要件確認,追加要件整理,,要件,,,2025/8/6,2025/8/7,,,山田,50
3,設計,概要設計,,設計,,,2025/8/8,2025/8/9,2,2,中村,0
4,画面Cワイヤ,UIラフ,,設計,UI,画面C,2025/8/12,2025/8/13,2,3,中村,0
5,API設計,エンドポイント定義,,設計,API,,2025/8/12,2025/8/13,2,3,佐々木,0
6,実装(画面C),一覧/詳細,,実装,UI,画面C,2025/8/18,2025/8/21,4,"4,5",中村,0
7,実装(API1),機能1,,実装,API,機能1,2025/8/18,2025/8/20,3,5,佐々木,0
8,単体テスト(C),UIテスト,,テスト,UI,,2025/8/25,2025/8/26,2,6,中村,0
9,単体テスト(API1),APIテスト,,テスト,API,,2025/8/25,2025/8/26,2,7,佐々木,0
10,結合テスト,画面C×API1,,テスト,E2E,,2025/8/27,2025/8/28,2,"8,9",山田,0
11,バグ修正,優先度高,,修正,,,2025/8/29,2025/8/30,2,10,チーム,0
12,受入準備,シナリオ作成,,受入,,,2025/9/1,2025/9/1,1,11,山田,0
13,受入,ユーザ受入,,受入,,,2025/9/2,2025/9/3,2,12,山田,0
14,リリース準備,ノート/手順,,運用,,,2025/9/4,2025/9/4,1,13,山田,0
15,リリース,本番反映,,運用,,,2025/9/5,2025/9/5,,14,全員,0
